一[一]	 	說文: 惟初太始道立於一造分天地化成萬物凡一之屬皆從一Etym: Primitive pictograph 一. From a single line. Meaning one.
秀[秀]	 	說文: 上諱漢光武帝名也徐锴曰禾實也有實之象下垂也Etym: Primitive pictograph 秀. From 禾 and remnant (meaning flaping) 乃. Meaning flurishing.Phon: 秀 xiu4  (productive phonetic)
私[私]	 	說文: 禾也從禾厶聲北道名禾主人曰私主人Etym: From grain 禾 and phonetic and indicating mouth 厶. Meaning private.Phon: 厶 gong1 si1 yi3 si1 gong1 
秆[稈]	 	說文: 禾莖也從禾旱聲春秋傳曰或投一秉稈Etym: From grain 禾 and phonetic 干. Meaning straw.Phon: 旱 han4 干 gan1 han4 an4 jian1 
秉[秉]	 	說文: 禾束也從又持禾Etym: Primitive pictograph 秉. A hand 又 grasping grain 禾.  Meaning grasp.
秋[秋]	 	說文: 禾穀孰也從禾D869 DEB0省聲Etym: From grain 禾 and fire 火. Meaning autumn when people burn the fields to kill the locust eggs.Phon: 秋 qiu1  (productive phonetic)
科[科]	 	說文: 程也從禾從斗斗者量也Etym: From grain 禾 and phonetic (also a dipper which can measure) 斗. Meaning science.Phon: 科 ke1 禾 he2  (productive phonetic)
秒[秒]	 	說文: 禾芒也從禾少聲Etym: From grain 禾 and small 少. Meaning a beard of grain.Phon: 少 shao3 shao4 小 xiao3 
秕[秕]	 	Etym: From grain 禾 and phonetic 比. Meaning an empty grain husk.
秘[秘]	 	Etym: From grain 禾 and phonetic 必. Originally meaning a kind of herb.
租[租]	 	說文: 田賦也從禾且聲Etym: From grain 禾 and phonetic 且. Meaning rent, probably paid in grain.Phon: 且 qie2 ju1 cu2 
秤[秤]	 	Etym: From grain 禾 and level 平. Meaning balance.
秦[秦]	 	說文: 伯益之後所封國地宜禾從禾舂省一曰秦禾名Etym: Primitive pictograph 秦. From grain 禾 which is being pounded by a pestil *. A country and dynasty name.Phon: 秦 qin2  (productive phonetic)
秧[秧]	 	說文: 禾若秧穰也從禾央聲Etym: From grain 禾 and phonetic 央. Meaning rice seedlings.Phon: 央 yang1 
秩[秩]	 	說文: 積也從禾失聲詩曰䆅之秩秩Etym: From grain 禾 and phonetic 失. Meaning salary, paid in grain.Phon: 失 shi1 yi4 
秫[秫]	 	Etym: From grain 禾 and phonetic (also meaning glutinous) 术.  Meaning glutinous.
积[積]	 	說文: 聚也從禾責聲Etym: From grain 禾 and phonetic 只. Meaning to accumulate.Phon: 責 ze2 zhai4 朿 ci4 Simplify: (禾) left of (phonetic-phonetic substitution 只責)
称[稱]	 	說文: 銓也從禾爯聲春分而禾生日夏至晷景可度禾有秒秋分而秒定律數十二秒而當一分十分而寸其以為重十二粟為一分十二分為一銖故諸程品皆從禾Etym: From grain 禾 which needs to be weighed and phonetic 尔爯. 爯 is a scale. Meaning weigh.Phon: 爯 cheng1 cheng4 Simplify: (las尓爯爾)
移[移]	 	說文: 禾相倚移也從禾多聲一曰禾名臣鉉等曰多與移聲不相近蓋古有此音Etym: From grain 禾 and phonetic (also meaning double moon, and many) 多. Original meaning to replant.
秽[穢]	 	Etym: From grain 禾 which has to be winnowed and cleaned and phonetic 岁. Meaning dirty.Phon: 歲 sui4 戌 xu1 Simplify: (禾) left of (s岁歳)
稀[稀]	 	說文: 疏也從禾希聲徐锴曰當言從爻從巾無聲字爻者稀疏之義與爽同意巾象禾之根莖至於莃睎皆當從稀省何以知之說文無希字故也Etym: From grain 禾 and phonetic 希. Meaning scarst. (希 also meanis finely separated.)Phon: 希 xi1 
税[稅]	 	說文: 租也從禾兌聲Etym: From grain 禾which can be bartered and phonetic 兑兌. Meaning taxes.Phon: 兌 dui4 sui4 rui4 duo2 
程[程]	 	說文: 品也十髮為程十程為分十分為寸從禾呈聲Etym: From grain 禾 which needs to be weighed and phonetic 呈. Original meaning to weith.Phon: 呈 cheng2 (壬 D844 DE3C) ting2 zheng1 
稍[稍]	 	說文: 出物有漸也從禾肖聲Etym: From grain 禾 and phonetic 肖. Meaning little. (肖 also means little.)Phon: 肖 xiao4 小 xiao3 
稔[稔]	 	說文: 穀孰也從禾念聲春秋傳曰鮮不五稔Phon: 念 nian4 
稚[稚]	 	Etym: From grain 禾 and phonetic 隹. Meaning young.Phon: 隹 zhui1 cui1 wei2 
稠[稠]	 	說文: 多也從禾周聲Etym: From grain 禾 and phonetic 周. Meaning dense.Phon: 周 zhou1 
稣[穌]	 	說文: 把取禾若也從禾魚聲Phon: 穌 su1  (productive phonetic)Simplify: (s鱼魚) left of (禾)
[稭]	 	Etym: From grain 禾 and phonetic 吉. Meaning millet.
种[種]	 	說文: 先穜後孰也從禾重聲Phon: 重 chong2 zhong4 tong2 dong4 Simplify: (禾) left of (phonetic-phonetic substitution 中重)
稳[穩]	 	說文: 蹂穀聚也一日安也從禾隱省古通用安隱Etym: From grain 禾 and phonetic (also meaning secure) 急㥯.  Meaning stable, secure.Phon: 㥯 yin3 (㥯-心 D851 DD0C) yin3 yin4 Simplify: (禾) left of (super cursive simplification 急㥯)
稷[稷]	 	說文: D869 DDC9也五榖之長從禾畟聲Phon: 畟 ji4 
稻[稻]	 	說文: 稌也從禾舀聲Etym: From grain 禾 and phonetic 舀. Meaning rice in a field.Phon: 舀 yao3 
稼[稼]	 	說文: 禾之秀實為稼莖節為禾從禾家聲一曰稼家事也一曰在野曰稼Etym: From grain 禾 and phonetic 家. Meaning to sow grain.Phon: 家 jia1 
稽[稽]	 	說文: 留止也從D855 DF4C從尤旨聲凡稽之屬皆從稽Etym: From grain 禾 and faulty 尤 and phonetic 旨. Meaning to examine.Phon: 稽 qi3 ji1 旨 zhi3 
稿[稿]	 	Etym: From grain 禾 and phonetic 高. Originally paper from stalk of grain grass. Meaning manusctipt.Phon: 高 gao1 
[穀]	 	說文: 續也百穀之緫名從禾**聲Phon: 㱿殻 hu4 que4 
穆[穆]	 	說文: 禾也從禾㣎聲Etym: From grain 禾 quietly growing and phonetic 㣎. Meaning calm.Phon: 㣎 mu4 
穑[穡]	 	說文: 榖可收曰穡從禾嗇聲Phon: 嗇 se4 Simplify: (禾) left of (s啬嗇)
穗[穗]	 	說文: D855 DF69或從禾惠聲Etym: From grain 禾 and phonetic 惠. Meaning ear of grain.Phon: 惠 hui4 
[穫]	 	說文: 刈榖也從禾蒦聲Phon: 蒦 huo4 Simplify: (unk22穫获)
穴[穴]	 	說文: 土室也從宀八聲凡穴之屬皆從穴Etym: Primitive pictograph 穴. A cave, but probabaly a flap door.
[穵]	 	說文: 空大也從穴乙聲Phon: 穵 wa1 乙 yi3 ya3  (productive phonetic)
究[究]	 	說文: 窮也從穴九聲Etym: From tent opening 穴 (go in and check it out) and phonetic 九. Meaning to examine.Phon: 九 jiu3 
穷[窮]	 	說文: 極也從穴躳聲Etym: From tent opening 穴 and phonetic 力. Meaning poor.Phon: 躬 gong1 弓 gong1 Simplify: (穴) above (ccs力躬))
穹[穹]	 	說文: 窮也從穴弓聲Phon: 弓 gong1 
空[空]	 	說文: 竅也從穴工聲Etym: From tent opening 穴 and phonetic 工. Meaning hollow or empty.Phon: 空 kong1 kong4 工 gong1  (productive phonetic)
穿[穿]	 	說文: 通也從牙在穴中Etym: From tent opening 穴 and tooth 牙. Meaning to penetrate. (as to go into)
突[突]	 	說文: 犬從穴中暫出也從犬在穴中一曰滑也Etym: From tent opening 穴 and phonetic 犬. Meaning suddenly like a dog appearing at a tent.
窃[竊]	 	說文: 盜自中出曰竊從穴從米禼廿皆聲廿古文疾禼古文偰Etym: From tent opening 穴 and phonetic 切. Meaning secretly.Phon: 禼 xie4 Simplify: (cognate-phonetic substitution 切*)
窄[窄]	 	Etym: From tent opening 穴 and phonetic 乍. Meaning narrow. (as in a narrow opening)Phon: 窄 zhai3 zha4 乍 zha4 zuo4  (productive phonetic)
窈[窈]	 	說文: 深遠也從穴幼聲Phon: 幼 you4 yao4 幺 yao1 
窍[竅]	 	說文: 空也從穴敫聲Etym: From tent opening 穴 and phonetic 巧. Meaning opening.Phon: 敫 jiao3 qiao1 Simplify: (cognate-phonetic substitution 巧敫)
窑[窯]	 	說文: 燒瓦竈也從穴高羔聲Etym: From tent opening 穴 and phonetic 缶. Meaning a kiln.Phon: 羔 gao1 
窒[窒]	 	說文: 塞也從穴至聲Etym: From tent opening 穴 and phonetic 至. Meaning to obstruct.Phon: 至 zhi4 
窕[窕]	 	說文: 深肆極也從穴兆聲讀若挑Phon: 兆 zhao4 tao2 tiao1 
窖[窖]	 	說文: 地藏也從穴告聲Etym: From tent opening 穴 and phonetic 告. Meaning pit. (probably from a pit house)Phon: 告 gao4 gu4 hao2 
窗[窗]	 	說文: 或從穴Etym: From tent opening 穴 and phonetic 囱. Meaning window.(囱 original character for )Phon: 窗 chuang1 囱 chuang1 cong1 
窘[窘]	 	說文: 迫也從穴君聲Etym: From tent opening 穴 (maybe to break in) and phonetic 君. To embarras.Phon: 君 jun1 
窜[竄]	 	說文: 墜也從鼠在穴中Etym: From tent opening 穴 and phonetic 串. Meaning to expel.Simplify: (穴) left of (cognate-phonetic substitution 串鼠)
窝[窩]	 	Etym: From tent opening 穴 and phonetic 呙咼. Meaning nest or den.Phon: 咼 gua3 wo1 guo1 wai1 冎 gua3 Simplify: (穴) above (s呙咼)
窟[窟]	 	Etym: From tent opening 穴 and phonetic 屈. Meaning cave.Phon: 屈 qu1 jue2 ju2 出 chu1 
窠[窠]	 	說文: 空也穴中曰窠樹上曰巢從穴果聲Phon: 果 guo3 luo3 
窥[窺]	 	說文: 小視也從穴規聲Etym: From tent opening 穴 and phonetic 规. Meaning to watch, as to watch from a tentway. (规 is also related to watching or measuring)Phon: 規 gui1 Simplify: (穴) above (夫) left of (s见見)
窦[竇]	 	說文: 空也從穴瀆省聲Phon: 賣 mai4 (du) 買 mai3 Simplify: (穴) above (s卖賣)
洼[窪]	 	Etym: From water 氵水 and phonetic 圭. Meaning swamp.Phon: 洼 wa1 圭 gui1  Simplify: (deletion 洼(窪-穴))
窿[窿]	 	Etym: From tent opening 穴 and phonetic 隆. Meaning cavity.
[竈]	 	Etym: From fire 火 and earth 土. Meaning kitchen stove.Simplify: (character substitution 灶竈)
立[立]	 	說文: 住也從大立一之上臣鉉等曰大人也一地也會意凡立之屬皆從立Etym: Primitive pictograph 立. A man standing up. Meaning to stand.Phon: 立 li4  (productive phonetic)
竖[豎]	 	說文: 豎立也從臤豆聲Etym: From *臤 phonetic 立豆. Meaning perpendicular.
站[站]	 	Etym: From standing man 立 and phonetic 占. Meaning to stand up.Phon: 占 zhan1 zhan4 tie1 
[竝]	 	說文: 癈一偏下也從竝白聲Phon: 幷并並竝併 bing1 bing4  (productive phonetic)
竞[競]	 	說文: 彊語也一曰逐也從誩從二人Etym: Deletion remnant 竞(t競). From double 竞. From two persons person 儿 and talking 言音. Meaning to compete.Phon: 競 jing4  (productive phonetic)Simplify: (deletion 竞競)
竟[竟]	 	說文: 樂曲盡為竟從音從人Etym: From sound 音 and person 儿, borrowed for sound. Meaning finally.Phon: 竟 jing4  (productive phonetic)
章[章]	 	說文: 樂竟為一章從音從十十數之終也Etym: From word 音 and ten 十. Meaning comosition or chapter.Phon: 章 zhang1 zhang4  (productive phonetic)
竣[竣]	 	說文: 偓竣也從立夋聲國語曰有司巳事而竣Etym: From standing man 立 and phonetic 夋. Meaningto finish.Phon: 夋 qun1 jun4 suo1 允 yun3 jun4 
童[童]	 	說文: 男有辠曰奴奴曰童女曰妾從䇂重省聲Etym: Character remnant 童. From chisel (crime) 立䇂 and phonetic 里重. Meaning boy servant.Phon: 童 tong2 zhong1 重 chong2 zhong4 tong2 dong4  (productive phonetic)
竦[竦]	 	說文: 敬也從立從束束自申束也
竭[竭]	 	說文: 負舉也從立曷聲Etym: From person stanging 立 and phonetic 曷. Meaning to lift with effort.Phon: 曷 he2 e4 he4 匃丐 gai4 
端[端]	 	說文: 直也從立耑聲Etym: From person standing 立 and plant roots and sprouts 耑. Meaning end.Phon: 耑 duan1 zhuan1 
[竷]	 	說文: 繇也舞也樂有章從章從夅從夊詩曰竷竷舞我
竹[竹]	 	說文: 矢也從竹前聲Etym: Primitive pictograph 竹. Two bamboo stalks and leaves. Meaning bamboo.Phon: 竹 zhu2 du2  (productive phonetic)
竺[竺]	 	說文: 厚也從二竹聲Phon: 竹 zhu2 du2 
竽[竽]	 	說文: 管三十六簧也從竹于聲Phon: 于 yu2 yu1 xu1 
竿[竿]	 	說文: 竹梃也從竹干聲Etym: From bamboo 竹 and phonetic 干. Meaning bamboo pole.Phon: 干 gan1 han4 an4 jian1 
笃[篤]	 	說文: 馬行頓遲從馬竹聲Phon: 竹 zhu2 du2 Simplify: (竹) above (s马馬)
笆[笆]	 	Etym: From bamboo 竹 and phonetic 巴. Meaning bamboo fence.Phon: 巴 ba1 
笋[筍]	 	說文: 竹胎也從竹旬聲Etym: Phonetic substitution 笋筍. From bamboo 竹 and substitute phinetic * 尹旬. Meaning bamboo shoots.Phon: 旬 xun2 
笏[笏]	 	說文: 公及士所搢也從竹勿聲案籀文作D844 DDC9象形義云佩也古笏佩之此字後人所加Phon: 勿 wu4 
笑[笑]	 	說文: 此字本闕臣鉉等案孫愐唐韻引說文云喜也從竹從犬而不述其義今俗皆從犬又案李陽冰刊定說文從竹從夭義云竹得風其體夭屈如人之笑未知其審Etym: From bamboo 竹 and phonetic 夭. Meaning to laugh（note: old Chinese bamboo slat books)Phon: 夭 yao1 wo4 
笔[筆]	 	說文: 秦謂之筆從聿從竹徐锴曰筆尚便疌故從聿Etym: Substitution remnant 笔筆. From bamboo 竹 and hair 毛 for hand with brush 聿. Meaning a brush.Phon: 聿 yu4 Simplify: (竹) above (ccs毛聿)
笙[笙]	 	說文: 十三簧象鳳之身也笙正月之音物生故謂之笙大者謂之巢小者謂之和從竹生聲古者隨作笙Etym: From bamboo 竹 and phonetic 生. Meaning a kind of muysical instrument.Phon: 生 sheng1 
笛[笛]	 	說文: 七孔筩也從竹由聲羌笛三孔徐锴曰當从胄省乃得聲Etym: From bamboo 竹 and phonetic 由. Meaning a bamboo flute.Phon: 由 you2 zhou4 di2 
笞[笞]	 	說文: 擊也從竹台聲Phon: 台 tai2 yi2 厶 yi3 si1 gong1 
笠[笠]	 	說文: 簦無柄也從竹立聲Phon: 立 li4 
笤[笤]	 	Etym: From bamboo 竹 and phonetic 召. Meaning a broom.
符[符]	 	說文: 信也漢制以竹長六寸分而相合從竹付聲Etym: From bamboo 竹 and phonetic 付. Meaning to tally.（note: old Chinese bamboo slat books)Phon: 付 fu4 
笨[笨]	 	說文: 竹裏也從竹本聲Etym: From bamboo 竹 (bamboo scrole) and phonetic 本 ("bèn" means someone who can not read). Meaning dumb.Phon: 本 ben3 
第[第]	 	Etym: From bamboo 竹 and phonetic 弔. Meaning sequence（note: old Chinese bamboo slat books)Phon: 弟 di4 ti4 
笺[箋]	 	說文: 表識書也從竹戔聲Phon: 戔 can2 jian1 Simplify: (竹) above (s戋戔)
笼[籠]	 	說文: 舉土器也一曰笭也從竹龍聲Etym: From bamboo 竹 and phonetic 龙龍. Meaning a cage.Phon: 龍 long2 Simplify:  above (竹)(s龙龍)
等[等]	 	說文: 齊簡也從竹從寺寺官曹之等平也Etym: From bamboo 竹 (in the books) at the temple 寺. Meaning rank.Phon: 寺 si4 之止 zhi1 zhi4 
筋[筋]	 	說文: 肉之力也從力從肉從竹竹物之多筋者凡筋之屬皆從筋Etym: From bamboo 竹 (plant fiber) and phonetic (also related to tendons) 肋. Meaning muscle.Phon: 肋 lei4 jin1 力 li4 
筏[筏]	 	Etym: From bamboo 竹 and phonetic 伐. Meaning raft.Phon: 伐 fa2 
筐[筐]	 	說文: 匡或從竹Etym: From bamboo 竹 and phonetic 匡. Meaning chest. 匡 also means chest.Phon: 匡 kuang1 王 wang2 wang4 wang3 
筑[筑]	 	說文: 以竹曲五弦之樂也從竹從巩巩持之也竹亦聲Phon: 筑 zhu2 竹 zhu2 du2  (productive phonetic)
筒[筒]	 	說文: 通簫也從竹同聲Etym: From bamboo 竹 and phonetic 同. Meaning a thick piece of bamboo.Phon: 同 tong2 
答[答]	 	Etym: From bamboo 竹 and phonetic 合. Meaning to reply.（note: old Chinese bamboo slat books)
策[策]	 	說文: 馬箠也從竹朿聲Etym: From bamboo 竹 and phonetic (also meaning thorn) 朿. Meaning to whip.Phon: 朿 ci4 
筛[篩]	 	Etym: From bamboo 竹 and phonetic 师師. Meaning sieve.Phon: 師 shi1 Simplify: (竹) above (s师師)
筝[箏]	 	說文: 鼓弦竹身樂也從竹爭聲Etym: From bamboo 竹 and phonetic (also meaning to pull a string tight) 争爭. Meaning a stringed musical instrument.Phon: 爭 zheng1 zheng4 
筠[筠]	 	說文: 竹皮也從竹均聲Phon: 均 jun1 勻 yun2 jun1 
[筭]	 	說文: 長六寸計歷數者從竹從弄言常弄乃不誤也
筷[筷]	 	Etym: From bamboo 竹 and phonetic 快. Meaning chopsticks.Phon: 快 kuai4 夬 guai4 jue2 que1 
筹[籌]	 	說文: 壺矢也從竹壽聲Etym: From bamboo 竹 and phonetic 寿壽. Meaning a tally as in tally stick.Phon: 壽 shou4 Simplify: (竹) left of (s寿壽)
简[簡]	 	說文: 榜也從竹殿聲臣鉉等曰當从D866 DE94省聲Etym: From bamboo 竹 and phonetic 间間. Meaning a letter.（note: old Chinese bamboo slat books)Phon: 閒間 jian1 jian4 xian2 xian4 Simplify: (竹) above (s门門)cup(日)
箍[箍]	 	Etym: From bamboo 竹 and hand 扌手 and a hoop 匝帀. Meaning a hoop.
箕[箕]	 	說文: 簸也從竹**象形下其丌也凡箕之屬皆從箕Etym: From bamboo 竹 and phonetic 其. Meaning a dust pan.Phon: 其 qi2 
算[算]	 	說文: 數也從竹從具讀若筭Etym: From bamboo 竹 and jade beads 目玉 being manipulated by tha hands 共 originally an abacus.Phon: 算筭 suan4  (productive phonetic)
箝[箝]	 	說文: 籋也從竹拑聲Phon: 拑 qian2 甘 gan1 han1 
管[管]	 	說文: 如篪六孔十二月之音物開地牙故謂之管從竹官聲Etym: From bamboo 竹 and phonetic 官. Meaning a tube.Phon: 官 guan1 
